Region,Subregion,Country,Drug Type,Source,Notes,Year,Lifetime,Past Month,Past Year
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1995,31.6,15.6,26.1
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1996,35.6,17.7,29
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1997,37.8,17.9,30.1
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1998,36.5,16.9,28.2
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,1999,36.4,16.9,27.9
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2000,35.3,16.3,27.2
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2001,35.3,16.6,27.5
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2002,34,15.3,26.1
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2003,32.4,14.8,24.6
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2004,31.4,13.6,23.8
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2005,30.8,13.4,23.4
Africa,East Africa,Ethiopia,Cannabis,ARQ,Ages not specified,1999,11,,
Africa,East Africa,Kenya,Cannabis,Govt.,Resin,2007,1.1,0.9,
Africa,East Africa,Kenya,Cannabis,ARQ,Herb,2012,3.1,,
Africa,East Africa,Kenya,Cannabis,ARQ,Resin,2012,0.8,,
Africa,East Africa,Kenya,Cannabis,ARQ,Herb,2016,2.8,1.1,1.1
Africa,East Africa,Kenya,Cannabis,ARQ,Herb,2016,7.5,1.8,
Africa,East Africa,Madagascar,Cannabis,ARQ,-,2004,,,18.53
Africa,East Africa,Madagascar,Cannabis,ARQ,Herb,2018,16.67,,16.67
Africa,East Africa,Mauritius,Cannabis,ARQ,-,2004,10.9,,2.2
Africa,East Africa,Seychelles,Cannabis,ARQ,-,2001,,,0.31
Africa,North Africa,Algeria,Cannabis,ARQ,-,2005,,,
Africa,North Africa,Algeria,Cannabis,ARQ,Herb,2010,0.17,0.07,0.07
Africa,North Africa,Algeria,Cannabis,ARQ,Resin,2016,5.44,2.69,3.61
Africa,North Africa,Egypt,Cannabis,ARQ,-,2006,18.9,,
Africa,North Africa,Egypt,Cannabis,ARQ,(general population survey),2013,,,1.4
Africa,North Africa,Egypt,Cannabis,ARQ,Herb (general population survey),2013,,,5.3
Africa,North Africa,Egypt,Cannabis,MedSPAD,-,2016,2.72,1.6,2.56
Africa,North Africa,Morocco,Cannabis,MedSPAD,Select regions (Rabat),2005,6.573,2.9456,4.6228
Africa,North Africa,Morocco,Cannabis,MedSPAD,Resin,2009,7.2,2.6,4.6
Africa,North Africa,Morocco,Cannabis,MedSPAD,-,2009,9.2,4.1,6.2
Africa,North Africa,Morocco,Cannabis,ARQ,-,2013,5,3,3
Africa,North Africa,Morocco,Cannabis,MedSPAD,-,2017,6,3,5
Africa,North Africa,Sudan,Cannabis,ARQ,-,2009,3,,
Africa,North Africa,Tunisia,Cannabis,MedSPAD,-,2013,1.4,0.4,0.7
Africa,North Africa,Tunisia,Cannabis,MedSPAD Survey 2016/2017,-,2016,3.8,1.5,2.5
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2006,28.9,12.5,22.2
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2007,27.9,12.4,21.4
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2008,27.9,12.5,21.5
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2009,29,13.8,22.9
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2010,30.4,14.8,24.5
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2011,31,15.2,25
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2012,30.7,15.1,24.7
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2013,32,15.6,25.8
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2014,30.5,14.4,24.2
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2015,30,14,23.7
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2016,28.6,13.7,22.6
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",Herb and rasin,2017,29.3,14.5,23.9
Americas,North America,United States of America,Cannabis,"Monitoring the future, Adolescent Drug Use",-,2018,32.6,16.7,27.5
Americas,South America,Argentina,Cannabis,ARQ,-,2007,10.9,,7.6
Americas,South America,Argentina,Cannabis,ARQ,Herb,2009,13.2,5.7,9.5
Americas,South America,Argentina,Cannabis,Argentina Estudio Nacional en poblacion de 12-65_Consumo 2017,Herb,2010,3,1.3,2.2
Americas,South America,Argentina,Cannabis,ARQ,Herb,2011,14.7,6.5,11.1
Americas,South America,Argentina,Cannabis,ARQ,Herb,2014,18.3,8.8,13.6
Americas,South America,Argentina,Cannabis,Argentina Estudio Nacional en poblacion de 12-65_Consumo 2017,Herb,2017,8.6,2.8,4.9
Americas,South America,Argentina,Cannabis,Argentina Estudio Nacional en poblacion de 12-65_Consumo 2017,Resin,2017,0.3,,
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,-,2008,6.2,1.9,3.6
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,Herb,2008,1.1,0.34,0.71
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,"Herb, Capitals of departments",2013,1.11,0.34,0.71
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,Herb,2012,11.97,1.45,3.44
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,Resin,2012,1.98,0.2,0.47
Americas,South America,Bolivia (Plurinational State of),Cannabis,Government,Herb,2016,12.15,2.18,4.98
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,Resin,2016,0.61,,
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,Herb,2016,12.15,2.18,4.98
Americas,South America,Bolivia (Plurinational State of),Cannabis,ARQ,Other types of cannabis,2016,0.6,,0.4
Americas,South America,Brazil,Cannabis,Government,-,2005,7.67,4.43,6.29
Africa,North Africa,Tunisia,Cannabis,,-,2018,,,5.07
Africa,Southern Africa,Namibia,Cannabis,Govt.,Herb,2015,9.3,6.2,6.4
Africa,Southern Africa,South Africa,Cannabis,ARQ,Herb,2008,12.7,9.7,
Africa,Southern Africa,South Africa,Cannabis,ARQ,Western Cape Town only,2011,23.6,8.2,12.3
Africa,Southern Africa,South Africa,Cannabis,ARQ,Herb,2011,12.8,9.2,
Africa,Southern Africa,South Africa,Cannabis,ARQ,-,2011,12.8,9.2,
Africa,Southern Africa,Zambia,Cannabis,WHO,GSHS,2004,35.3,,
Africa,West and Central Africa,Cabo Verde,Cannabis,2018 National Survey on Substance Use and Health (NSSUH),-,2018,,,10.4
Africa,West and Central Africa,Central African Republic,Cannabis,ARQ,Resin,2017,5,3,
Africa,West and Central Africa,Central African Republic,Cannabis,ARQ,Herb,2017,30,21,
Africa,West and Central Africa,Côte d'Ivoire,Cannabis,Government,-,2017,2.5,1.5,1.5
Africa,West and Central Africa,Côte d'Ivoire,Cannabis,Government,Spice,2017,1.2,0.4,0.6
Africa,West and Central Africa,Ghana,Cannabis,ARQ,-,2007,,,17.1
Africa,West and Central Africa,Nigeria,Cannabis,UNODC Report,-,2017,,,3.3
Africa,West and Central Africa,Togo,Cannabis,ARQ,-,2009,1.9,,1.2
Americas,Caribbean,Antigua and Barbuda,Cannabis,OAS (MEM),-,2005,24.9,8.4,13.4
Americas,Caribbean,Antigua and Barbuda,Cannabis,CICAD/ OAS,-,2013,32.58,17.96,23.89
Americas,Caribbean,Bahamas,Cannabis,Govt.,-,2008,15.6,,8.5
Americas,Caribbean,Bahamas,Cannabis,CICAD/ OAS,-,2011,12.78,4.29,8.1
Americas,Caribbean,Barbados,Cannabis,OAS (MEM),-,2006,17.4,6,10.6
Americas,Caribbean,Barbados,Cannabis,CICAD/ OAS,-,2013,20.93,10.44,15.96
Americas,Caribbean,Dominica,Cannabis,OAS (MEM),-,2006,29.4,11.8,17.9
Americas,Caribbean,Dominica,Cannabis,CICAD/ OAS,-,2011,32.87,12.47,19.77
Americas,Caribbean,Dominican Republic,Cannabis,ARQ,-,2008,1.7,0.4,1
Americas,Caribbean,Grenada,Cannabis,Govt.,-,2005,29.1,10.4,18.1
Americas,Caribbean,Grenada,Cannabis,CICAD/ OAS,-,2013,19.74,6.99,12.92
Americas,Caribbean,Haiti,Cannabis,ARQ,-,2005,3,,1.7
Americas,Caribbean,Haiti,Cannabis,CICAD/ OAS,-,2014,3.2,1.21,2.36
Americas,Caribbean,Jamaica,Cannabis,OAS,-,2006,25.1,8.5,14.6
Americas,Caribbean,Jamaica,Cannabis,ARQ,-,2010,14.3,,
Americas,Caribbean,Jamaica,Cannabis,CICAD/ OAS,-,2013,21.11,6.29,11.93
Americas,Caribbean,Jamaica,Cannabis,2016 National Drug Prevalence Survey,-,2016,2.3,0.1,2.3
Americas,Caribbean,Jamaica,Cannabis,2016 National Drug Prevalence Survey,-,2016,9.8,6.3,7.9
Americas,Caribbean,Jamaica,Cannabis,2016 National Drug Prevalence Survey,-,2016,6.2,3.3,5.2
Americas,Caribbean,Puerto Rico,Cannabis,Govt.,Youth Risk Behavior Survey,2005,12.5,6.8,
Americas,Caribbean,Saint Kitts and Nevis,Cannabis,Govt.,-,2006,32.4,9.74,18.5
Americas,Caribbean,Saint Kitts and Nevis,Cannabis,CICAD/ OAS,-,2013,24.24,11.61,16.07
Americas,Caribbean,Saint Lucia,Cannabis,OAS (MEM),-,2005,25.5,8.8,15.9
Americas,Caribbean,Saint Lucia,Cannabis,CICAD/ OAS,-,2013,28.77,10.71,17.22
Americas,Caribbean,Saint Vincent and the Grenadines,Cannabis,OAS (MEM),-,2006,17.76,5.17,11.72
Americas,Caribbean,Saint Vincent and the Grenadines,Cannabis,CICAD/ OAS,-,2013,26.7,14.11,19.39
Americas,Caribbean,Trinidad and Tobago,Cannabis,OAS (MEM),-,2006,11.97,2.75,6.55
Americas,Caribbean,Trinidad and Tobago,Cannabis,CICAD/ OAS,-,2013,16.6,6.23,10.7
Americas,Caribbean,Turks and Caicos Islands,Cannabis,ARQ,-,2002,21.4,,14.5
Americas,Central America,Belize,Cannabis,OAS (MEM),-,2002,20.5,6.7,13.4
Americas,Central America,Belize,Cannabis,CICAD/ OAS,-,2013,24.27,10.64,15.84
Americas,Central America,Costa Rica,Cannabis,ARQ,Herb,2009,9.97,3.56,6.82
Americas,Central America,Costa Rica,Cannabis,ARQ,Herb,2012,16.83,5.65,11.74
Americas,Central America,Costa Rica,Cannabis,ARQ,Herb,2015,13.309,1.795,7.3
Americas,Central America,Costa Rica,Cannabis,ARQ,Herb,2018,9.38,3.01,5.12
Americas,Central America,El Salvador,Cannabis,ARQ,-,2008,5.5,1.8,3.5
Americas,Central America,El Salvador,Cannabis,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",-,2012,12.7,0.7,3.4
Americas,Central America,El Salvador,Cannabis,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Resin,2012,0.9,0,0.1
Americas,Central America,El Salvador,Cannabis,"Estudio Nacional sobre Consumo de Drogas en Población Estudiantil Universitaria de El Salvador, 2012",Herb,2012,11.8,0.7,3.3
Americas,Central America,El Salvador,Cannabis,ARQ,-,2016,15.4,4,7.3
Americas,Central America,El Salvador,Cannabis,"Población objetivo: Estudiantes cursando los grados de septimo noveno y segundo año de bachillerato. La encuesta se paso en 98 centros educativos seleccionados de forma aleatoria a nivel nacional, utilizando la metodología del Sistema Interamericano de Da",-,2018,15.9,3.6,6.6
Americas,Central America,El Salvador,Cannabis,"Población objetivo: Estudiantes cursando los grados de septimo noveno y segundo año de bachillerato. La encuesta se paso en 98 centros educativos seleccionados de forma aleatoria a nivel nacional, utilizando la metodología del Sistema Interamericano de Da",Herb,2018,15.1,3.6,6.6
Americas,South America,Brazil,Cannabis,ARQ,-,2010,5.7,2,3.7
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,1994,,,5.6
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,1996,,,6.7
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,1998,,,7.6
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2000,,,8.1
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2002,,,6.2
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2004,,,6.2
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2006,,,7.4
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2008,,,9.1
Americas,South America,Chile,Cannabis,ARQ,Herb,2009,25.9,8.15,16.2
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2010,,,5.3
Americas,South America,Chile,Cannabis,ARQ,Herb,2011,26.9,12.35,20.5
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2012,,,6.7
Americas,South America,Chile,Cannabis,ARQ,Herb,2013,38.96,19.98,32.87
Americas,South America,Chile,Cannabis,Government,Herb,2013,34.89,17.13,28.35
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2014,,,13.5
Americas,South America,Chile,Cannabis,ARQ,Herb only,2015,43.83,20,34.79
Americas,South America,Chile,Cannabis,Chile XII study 2017,Herb,2016,,,12.6
Americas,South America,Chile,Cannabis,ARQ,Herb only,2017,42.73,18.21,33.22
Americas,South America,Colombia,Cannabis,CICAD/ OAS,-,2005,9.58,3.01,8.36
Americas,South America,Colombia,Cannabis,ARQ,Herb,2011,7,2.83,5.22
Americas,South America,Colombia,Cannabis,ARQ,Herb,2012,31.16,7.14,15.01
Americas,South America,Colombia,Cannabis,Government,-,2016,36.31,9.74,20.77
Americas,South America,Colombia,Cannabis,ARQ,Herb,2016,14.18,5.01,9.65
Americas,South America,Ecuador,Cannabis,ARQ,-,2008,6.4,2.2,4.2
Americas,South America,Ecuador,Cannabis,ARQ,-,2009,11.41,1.68,4.43
Americas,South America,Ecuador,Cannabis,ARQ,Herb,2012,6.7,1.3,2.9
Americas,South America,Ecuador,Cannabis,ARQ,Resin,2012,0.5,0.1,0.2
Americas,South America,Ecuador,Cannabis,ARQ,-,2012,7.19,1.37,3.1
Americas,South America,Ecuador,Cannabis,Government,Herb,2016,26.93,5.06,11.57
Americas,South America,Ecuador,Cannabis,"Encuesta sobre uso y consumo de drogas ilícitas  en estudiantes de 9no. EGB, 1ero. Y 3ero. De bachillerato, 2016.",-,2016,11.56,1.93,9.57
Americas,South America,Guyana,Cannabis,ARQ,-,2002,6.8,1.8,3.5
Americas,South America,Guyana,Cannabis,CICAD/ OAS,-,2013,6.6,2.2,3.8
Americas,South America,Paraguay,Cannabis,CICAD/ OAS,-,2005,4.2,1.6,3
Americas,South America,Paraguay,Cannabis,ARQ,"Herb, School in cities of at least 30000",2014,5.7,2.3,3.7
Americas,South America,Paraguay,Cannabis,ARQ,"Resin, School in cities of at least 30000",2014,1,0,0
Americas,South America,Peru,Cannabis,DEVIDA,-,2006,2,0.6,1.2
Americas,South America,Peru,Cannabis,ARQ,Herb,2006,2.366,0.837,1.642
Americas,South America,Peru,Cannabis,DEVIDA,-,2007,3.1,0.9,1.9
Americas,South America,Peru,Cannabis,ARQ,Herb,2010,3.3,2.4,2.9
Americas,South America,Peru,Cannabis,DEVIDA,Herb,2012,4.3,1.4,2.2
Americas,South America,Peru,Cannabis,Government,Herb,2012,5.02,1.55,2.53
Americas,South America,Peru,Cannabis,ARQ,Resin,2012,4.97,1.67,2.63
Americas,South America,Peru,Cannabis,Government,Herb,2016,14.77,1.55,5.17
Americas,South America,Peru,Cannabis,OAS / DEVIDA,Herb,2017,5.6,1.2,2.6
Americas,South America,Suriname,Cannabis,CICAD/ OAS,-,2006,7.71,2.73,4.8
Americas,South America,Suriname,Cannabis,Suriname National Household Drug Prevalence Survey,-,2013,0.3,0.3,0.3
Americas,South America,Uruguay,Cannabis,ARQ,Herb,2009,16.2,6.8,12.5
Americas,South America,Uruguay,Cannabis,ARQ,Herb,2011,16.4,7.5,12
Americas,South America,Uruguay,Cannabis,ARQ,Resin,2011,0.6,,
Americas,South America,Uruguay,Cannabis,ARQ,-,2014,20.1,9.5,17
Americas,South America,Uruguay,Cannabis,ARQ,Herb,2014,20.1,9.5,17
Americas,South America,Uruguay,Cannabis,ARQ,Resin,2014,0.8,0.2,0.6
Americas,South America,Uruguay,Cannabis,ARQ,Herb,2014,25.3,12.1,19.8
Americas,South America,Uruguay,Cannabis,ARQ,Resin,2014,1.4,0.3,1
Americas,South America,Uruguay,Cannabis,ARQ,Herb,2016,25.3,12.1,19.8
Americas,South America,Uruguay,Cannabis,ARQ,Resin,2016,1.4,0.3,1
Americas,South America,Venezuela (Bolivarian Republic of),Cannabis,ARQ,Herb,2009,1.746839645,0.595073346,0.882812824
Americas,South America,Venezuela (Bolivarian Republic of),Cannabis,ARQ,Herb,2011,3.16,1.09,1.84
Americas,South America,Venezuela (Bolivarian Republic of),Cannabis,ARQ,Herb,2014,6.1,1.1,3.1
Americas,South America,Venezuela (Bolivarian Republic of),Cannabis,ARQ,Herb,2016,3.44,1.19,2.05
Asia,Central Asia and Transcaucasia,Armenia,Cannabis,ESPAD,-,2007,3,,
Asia,Central Asia and Transcaucasia,Armenia,Cannabis,HBSC,-,2010,2.82,3.21,2.73
Asia,Central Asia and Transcaucasia,Georgia,Cannabis,Research,Select regions (capital);  Georgian Medical News No3 (180) 2010,2010,16.9,3.6,9.6
Asia,Central Asia and Transcaucasia,Georgia,Cannabis, ESPAD,-,2015,11,4,4
Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis,ARQ,-,2007,4.6,,2.7
Asia,Central Asia and Transcaucasia,Kazakhstan,Cannabis,ARQ,-,2012,11.2,3.6,6.5
Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis,ARQ,-,2001,0.3,,
Asia,Central Asia and Transcaucasia,Kyrgyzstan,Cannabis,ARQ,Herb,2018,0.01,,
Asia,East and South-East Asia,"China, Hong Kong SAR",Cannabis,Govt.,-,2008,1.53,,
Asia,East and South-East Asia,"China, Hong Kong SAR",Cannabis,ARQ,-,2011,,,0.02
Asia,East and South-East Asia,"China, Hong Kong SAR",Cannabis,ARQ,Central Registry,2014,,,0.01
Asia,East and South-East Asia,"China, Hong Kong SAR",Cannabis,ARQ,Central Registry,2015,,,0.01
Asia,East and South-East Asia,"China, Hong Kong SAR",Cannabis,ARQ,Central Registry,2016,,,0.01
Asia,East and South-East Asia,"China, Hong Kong SAR",Cannabis,ARQ,Central Registry,2018,,0.03,
Asia,East and South-East Asia,"China, Macao SAR",Cannabis,ARQ,-,2002,2.8,,
Asia,East and South-East Asia,"China, Macao SAR",Cannabis,ARQ,Central Registry,2018,,60,
Asia,East and South-East Asia,"China, Taiwan Province of China",Cannabis,Govt.,-,2006,0.1,,
Asia,East and South-East Asia,Indonesia,Cannabis,ARQ,Herb,2010,0.57,0.19,0.3
Asia,East and South-East Asia,Indonesia,Cannabis,ARQ,Resin,2011,1.3,0.1,1.3
Asia,East and South-East Asia,Indonesia,Cannabis,ARQ,Herb,2011,1.9,0.07,1.3
Asia,East and South-East Asia,Indonesia,Cannabis,ARQ,"Herb only, 20 provinces",2015,0.59,,0.21
Asia,East and South-East Asia,Indonesia,Cannabis,ARQ,"Herb only, 13 out of 34 Provinces",2018,,,9.6
Asia,East and South-East Asia,Japan,Cannabis,ARQ,-,2010,0.3,,
Asia,East and South-East Asia,Japan,Cannabis,ARQ,-,2011,0.2,,
Asia,East and South-East Asia,Japan,Cannabis,ARQ,-,2013,0.2,,
Asia,East and South-East Asia,Japan,Cannabis,ARQ,-,2014,0.2,,
Asia,East and South-East Asia,Japan,Cannabis,ARQ,-,2016,0.3,,
Asia,East and South-East Asia,Japan,Cannabis,ARQ,-,2018,0.3,,
Asia,East and South-East Asia,Malaysia,Cannabis,ARQ,Herb,2018,,,100
Asia,East and South-East Asia,Myanmar,Cannabis,ARQ,-,2004,0.9,,0.5
Asia,East and South-East Asia,Thailand,Cannabis,ARQ,Ages not specified,2003,4.4,,
Asia,Near and Middle East / South-West Asia,Israel,Cannabis,ARQ,-,2009,,,4.2
Asia,Near and Middle East / South-West Asia,Israel,Cannabis,ARQ,-,2009,7.08,4.44,5.66
Asia,Near and Middle East / South-West Asia,Israel,Cannabis,ARQ,Resin,2009,5.73,3.63,4.66
Asia,Near and Middle East / South-West Asia,Israel,Cannabis,ARQ,Herb,2009,5.16,3.51,4.15
Asia,Near and Middle East / South-West Asia,Israel,Cannabis,ARQ,-,2010,6.6,3.9,6.4
Asia,Near and Middle East / South-West Asia,Israel,Cannabis,ARQ,Schools -except private schools,2014,8.5,5.5,6
Asia,Near and Middle East / South-West Asia,Jordan,Cannabis,ARQ,-,2001,,,2.5
Asia,Near and Middle East / South-West Asia,Lebanon,Cannabis,MedSPAD,Cannabis Resin,2009,6.1,,
Asia,Near and Middle East / South-West Asia,Oman,Cannabis,,Resin,2017,,,17
Asia,Near and Middle East / South-West Asia,Oman,Cannabis,,Herb,2017,,,12
Asia,Near and Middle East / South-West Asia,Pakistan,Cannabis,ARQ,-,2013,3.6,,
Asia,South Asia,Bangladesh,Cannabis,ARQ,-,2001,5,,3
Asia,South Asia,Bhutan,Cannabis,ARQ,"Herb, General population survey",2010,,,0.093
Asia,South Asia,India,Cannabis,ARQ,-,2001,,3,
Asia,South Asia,India,Cannabis,ARQ,-,2018,,,0.92
Europe,Eastern Europe,Belarus,Cannabis,ARQ,-,2010,5.3,0.6,2.4
Europe,Eastern Europe,Republic of Moldova,Cannabis,ESPAD,-,2008,4.8,1.3,2.8
Europe,Eastern Europe,Republic of Moldova,Cannabis,Govt.,-,2010,4.9,1.1,2.3
Europe,Eastern Europe,Republic of Moldova,Cannabis,ARQ,-,2012,3.5,0.3,1.2
Europe,Eastern Europe,Republic of Moldova,Cannabis,ESPAD,-,2015,4,2,
Europe,Eastern Europe,Russian Federation,Cannabis,ARQ/ ESPAD,-,2007,18.6,,17
Europe,Eastern Europe,Russian Federation,Cannabis,HBSC,-,2010,7.11,4.76,5.21
Europe,Eastern Europe,Russian Federation,Cannabis,ARQ,-,2011,14.8,4,9.5
Europe,Eastern Europe,Russian Federation,Cannabis,ARQ,-,2013,0.001,,
Europe,Eastern Europe,Ukraine,Cannabis,ESPAD,-,2007,14,,
Europe,Eastern Europe,Ukraine,Cannabis,ARQ,Registered users,2010,9,2,3
Europe,Eastern Europe,Ukraine,Cannabis,ARQ,Registered users,2011,12.4,3,7.3
Europe,Eastern Europe,Ukraine,Cannabis,ARQ,Registered users,2013,,,0.15
Europe,Eastern Europe,Ukraine,Cannabis,ARQ,Registered users,2014,,,2.1
Europe,Eastern Europe,Ukraine,Cannabis,ESPAD,-,2015,9,2,
Europe,South-Eastern Europe,Albania,Cannabis,ARQ,-,2004,5.5,,
Europe,South-Eastern Europe,Albania,Cannabis,ARQ / ESPAD,Herb,2015,6.6,3.5,5
Europe,South-Eastern Europe,Bosnia and Herzegovina,Cannabis,ARQ,-,2008,,,10
Europe,South-Eastern Europe,Bosnia and Herzegovina,Cannabis,ARQ,-,2011,4.5,1.4,3.3
Europe,South-Eastern Europe,Bosnia and Herzegovina,Cannabis,ARQ,Resin,2011,,1,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Cannabis,ARQ,-,2012,1,,
Europe,South-Eastern Europe,Bosnia and Herzegovina,Cannabis,ARQ,Herb,2012,0.8,,
