Year,Country,Score
2016,Mauritania,4.201
2016,Zimbabwe,4.193
2016,Malawi,4.156
2016,Sudan,4.139
2016,Gabon,4.121
2016,Mali,4.073
2016,Botswana,3.974
2016,Comoros,3.956
2016,Ivory Coast,3.916
2016,Angola,3.866
2016,Niger,3.856
2016,Chad,3.763
2016,Burkina Faso,3.739
2016,Uganda,3.739
2016,Madagascar,3.695
2016,Tanzania,3.666
2016,Liberia,3.622
2016,Guinea,3.607
2016,Rwanda,3.515
2016,Benin,3.484
2016,Togo,3.303
2016,Burundi,2.905
2017,Mauritius,5.629
2017,Nigeria,5.074
2017,South Africa,4.829
2017,Sierra Leone,4.709
2017,Cameroon,4.695
2017,Kenya,4.553
2017,Mozambique,4.55
2017,Senegal,4.535
2017,Zambia,4.514
2017,Gabon,4.465
2017,Ethiopia,4.46
2017,Mauritania,4.292
2017,Congo (Brazzaville),4.291
2017,Congo (Kinshasa),4.28
2017,Mali,4.19
2017,Ivory Coast,4.18
2017,Sudan,4.139
2017,Ghana,4.12
2017,Uganda,4.081
2017,Burkina Faso,4.032
2017,Niger,4.028
2017,Malawi,3.97
2017,Chad,3.936
2017,Zimbabwe,3.875
2017,Lesotho,3.808
2017,Angola,3.795
2017,Botswana,3.766
2017,Benin,3.657
2017,Madagascar,3.644
2017,Liberia,3.533
2017,Guinea,3.507
2017,Togo,3.495
2017,Rwanda,3.471
2017,Tanzania,3.349
2017,Burundi,2.905
2017,Central African Republic,2.693
2018,Mauritius,5.891
2018,Nigeria,5.155
2018,Cameroon,4.975
2018,Gabon,4.758
2018,South Africa,4.724
2018,Ivory Coast,4.671
2018,Ghana,4.657
2018,Senegal,4.631
2018,Sierra Leone,4.571
2018,Congo (Brazzaville),4.559
2018,Mali,4.447
2018,Burkina Faso,4.424
2018,Mozambique,4.417
2018,Kenya,4.41
2018,Zambia,4.377
2018,Mauritania,4.356
2018,Ethiopia,4.35
2018,Chad,4.301
2018,Congo (Kinshasa),4.245
2018,Niger,4.166
2018,Uganda,4.161
2018,Benin,4.141
2018,Sudan,4.139
2018,Togo,3.999
2018,Guinea,3.964
2018,Lesotho,3.808
2018,Madagascar,3.774
2018,Zimbabwe,3.692
2018,Botswana,3.59
2018,Malawi,3.587
2018,Liberia,3.495
2018,Rwanda,3.408
2018,Tanzania,3.303
2018,Central African Republic,3.083
2018,Burundi,2.905
2019,Mauritius,5.888
2019,Nigeria,5.265
2019,Cameroon,5.044
2019,Ghana,4.996
2019,Ivory Coast,4.944
2019,Benin,4.883
2019,Congo (Brazzaville),4.812
2019,Gabon,4.799
2019,South Africa,4.722
2019,Senegal,4.681
2019,Niger,4.628
2019,Burkina Faso,4.587
2019,Guinea,4.534
2019,Kenya,4.509
2019,Mauritania,4.49
2019,Mozambique,4.466
2019,Congo (Kinshasa),4.418
2019,Mali,4.39
2019,Sierra Leone,4.374
2019,Chad,4.35
2019,Ethiopia,4.286
2019,Uganda,4.189
2019,Zambia,4.107
2019,Togo,4.085
2019,Liberia,3.975
2019,Comoros,3.973
2019,Madagascar,3.933
2019,Lesotho,3.802
2019,Burundi,3.775
2019,Zimbabwe,3.663
2019,Botswana,3.488
2019,Malawi,3.41
2019,Rwanda,3.334
2019,Tanzania,3.231
2019,Central African Republic,3.083
2015,Bhutan,5.253
2015,Pakistan,5.194
2015,Bangladesh,4.694
2015,India,4.565
2015,Nepal,4.514
2015,Sri Lanka,4.271
2015,Afghanistan,3.575
2016,Bhutan,5.196
2016,Pakistan,5.132
2016,Nepal,4.793
2016,Bangladesh,4.643
2016,Sri Lanka,4.415
2016,India,4.404
2016,Afghanistan,3.36
2017,Pakistan,5.269
2017,Bhutan,5.011
2017,Nepal,4.962
2017,Bangladesh,4.608
2017,Sri Lanka,4.44
2017,India,4.315
2017,Afghanistan,3.794
2018,Pakistan,5.472
2018,Bhutan,5.082
2018,Nepal,4.88
2018,Bangladesh,4.5
2018,Sri Lanka,4.471
2018,India,4.19
2018,Afghanistan,3.632
2019,Pakistan,5.653
2019,Bhutan,5.082
2019,Nepal,4.913
2019,Bangladesh,4.456
2019,Sri Lanka,4.366
2019,India,4.015
2019,Afghanistan,3.203
2018,Angola,3.795
2015,Singapore,6.798
2015,Thailand,6.455
2015,Malaysia,5.77
2015,Indonesia,5.399
2015,Vietnam,5.36
2015,Philippines,5.073
2015,Laos,4.876
2015,Myanmar,4.307
2015,Cambodia,3.819
2016,Singapore,6.739
2016,Thailand,6.474
2016,Malaysia,6.005
2016,Indonesia,5.314
2016,Philippines,5.279
2016,Vietnam,5.061
2016,Laos,4.876
2016,Myanmar,4.395
2016,Cambodia,3.907
2017,Singapore,6.572
2017,Thailand,6.424
2017,Malaysia,6.084
2017,Philippines,5.43
2017,Indonesia,5.262
2017,Vietnam,5.074
2017,Myanmar,4.545
2017,Cambodia,4.168
2018,Singapore,6.343
2018,Malaysia,6.322
2018,Thailand,6.072
2018,Philippines,5.524
2018,Vietnam,5.103
2018,Indonesia,5.093
2018,Laos,4.623
2018,Cambodia,4.433
2018,Myanmar,4.308
2019,Singapore,6.262
2019,Thailand,6.008
2019,Philippines,5.631
2019,Malaysia,5.339
2019,Indonesia,5.192
2019,Vietnam,5.175
2019,Laos,4.796
2019,Cambodia,4.7
2019,Myanmar,4.36
2015,Canada,7.427
2015,United States,7.119
2016,Canada,7.404
2016,United States,7.104
2017,Canada,7.316
2017,United States,6.993
2018,Canada,7.328
2018,United States,6.886
2019,Canada,7.278
2019,United States,6.892
2015,Israel,7.278
2015,United Arab Emirates,6.901
2015,Oman,6.853
2015,Qatar,6.611
2015,Saudi Arabia,6.411
2015,Kuwait,6.295
2015,Bahrain,5.96
2015,Libya,5.754
2015,Algeria,5.605
2015,Turkey,5.332
2015,Jordan,5.192
2015,Morocco,5.013
2015,Lebanon,4.839
2015,Tunisia,4.739
2015,Palestinian Territories,4.715
2015,Iran,4.686
2015,Iraq,4.677
2015,Egypt,4.194
2015,Yemen,4.077
2015,Syria,3.006
2016,Israel,7.267
2016,United Arab Emirates,6.573
2016,Saudi Arabia,6.379
2016,Qatar,6.375
2016,Algeria,6.355
2016,Kuwait,6.239
2016,Bahrain,6.218
2016,Libya,5.615
2016,Turkey,5.389
2016,Jordan,5.303
2016,Morocco,5.151
2016,Lebanon,5.129
2016,Tunisia,5.045
2016,Iran,4.813
2016,Palestinian Territories,4.754
2016,Iraq,4.575
2016,Egypt,4.362
2016,Yemen,3.724
2016,Syria,3.069
2017,Israel,7.213
2017,United Arab Emirates,6.648
2017,Qatar,6.375
2017,Saudi Arabia,6.344
2017,Kuwait,6.105
2017,Bahrain,6.087
2017,Algeria,5.872
2017,Libya,5.525
2017,Turkey,5.5
2017,Jordan,5.336
2017,Morocco,5.235
2017,Lebanon,5.225
2017,Tunisia,4.805
2017,Palestinian Territories,4.775
2017,Egypt,4.735
2017,Iran,4.692
2017,Iraq,4.497
2017,Yemen,3.593
2017,Syria,3.462
2018,Israel,7.19
2018,United Arab Emirates,6.774
2018,Qatar,6.374
2018,Saudi Arabia,6.371
2018,Bahrain,6.105
2018,Kuwait,6.083
2018,Libya,5.566
2018,Turkey,5.483
2018,Algeria,5.295
2018,Morocco,5.254
2018,Lebanon,5.199
2018,Jordan,5.161
2018,Palestinian Territories,4.743
2018,Iran,4.707
2018,Tunisia,4.592
2018,Iraq,4.456
2018,Egypt,4.419
2018,Syria,3.462
2018,Yemen,3.355
2019,Israel,7.139
2019,United Arab Emirates,6.825
2019,Saudi Arabia,6.375
2019,Qatar,6.374
2019,Bahrain,6.199
2019,Kuwait,6.011
2019,Libya,5.525
2019,Turkey,5.373
2019,Algeria,5.211
2019,Morocco,5.208
2019,Lebanon,5.197
2019,Jordan,4.906
2019,Palestinian Territories,4.696
2019,Iran,4.548
2019,Tunisia,4.461
2019,Iraq,4.437
2019,Egypt,4.166
2019,Syria,3.462
2019,Yemen,3.38
2015,Costa Rica,7.226
2015,Mexico,7.187
2015,Brazil,6.983
2015,Venezuela,6.81
2015,Panama,6.786
2015,Chile,6.67
2015,Argentina,6.574
2015,Uruguay,6.485
2015,Colombia,6.477
2015,Suriname,6.269
2015,Trinidad and Tobago,6.168
2015,El Salvador,6.13
2015,Guatemala,6.123
2015,Ecuador,5.975
2015,Bolivia,5.89
2015,Paraguay,5.878
2015,Nicaragua,5.828
2015,Peru,5.824
2015,Jamaica,5.709
2015,Dominican Republic,4.885
2015,Honduras,4.788
2015,Haiti,4.518
2016,Costa Rica,7.087
2016,Brazil,6.952
2016,Mexico,6.778
2016,Chile,6.705
2016,Panama,6.701
2016,Argentina,6.65
2016,Uruguay,6.545
2016,Colombia,6.481
2016,Guatemala,6.324
2016,Suriname,6.269
2016,Trinidad and Tobago,6.168
2016,Venezuela,6.084
2016,El Salvador,6.068
2016,Nicaragua,5.992
2016,Ecuador,5.976
2016,Bolivia,5.822
2016,Peru,5.743
2016,Paraguay,5.538
2016,Jamaica,5.51
2016,Dominican Republic,5.155
2016,Honduras,4.871
2016,Haiti,4.028
2017,Costa Rica,7.079
2017,Chile,6.652
2017,Brazil,6.635
2017,Argentina,6.599
2017,Mexico,6.578
2017,Uruguay,6.454
2017,Guatemala,6.454
2017,Panama,6.452
2017,Colombia,6.357
2017,Trinidad and Tobago,6.168
2017,Nicaragua,6.071
2017,Ecuador,6.008
2017,El Salvador,6.003
2017,Bolivia,5.823
2017,Peru,5.715
2017,Paraguay,5.493
2017,Jamaica,5.311
2017,Venezuela,5.25
2017,Dominican Republic,5.23
2017,Honduras,5.181
2017,Haiti,3.603
2018,Costa Rica,7.072
2018,Mexico,6.488
2018,Chile,6.476
2018,Panama,6.43
2018,Brazil,6.419
2018,Argentina,6.388
2018,Guatemala,6.382
2018,Uruguay,6.379
2018,Colombia,6.26
2018,Trinidad & Tobago,6.192
2018,El Salvador,6.167
2018,Nicaragua,6.141
2018,Ecuador,5.973
2018,Jamaica,5.89
2018,Bolivia,5.752
2018,Paraguay,5.681
2018,Peru,5.663
2018,Honduras,5.504
2018,Dominican Republic,5.302
2018,Venezuela,4.806
2018,Haiti,3.582
2019,Costa Rica,7.167
2019,Mexico,6.595
2019,Chile,6.444
2019,Guatemala,6.436
2019,Panama,6.321
2019,Brazil,6.3
2019,Uruguay,6.293
2019,El Salvador,6.253
2019,Trinidad & Tobago,6.192
2019,Colombia,6.125
2019,Nicaragua,6.105
2019,Argentina,6.086
2019,Ecuador,6.028
2019,Jamaica,5.89
2019,Honduras,5.86
2019,Bolivia,5.779
2019,Paraguay,5.743
2019,Peru,5.697
2019,Dominican Republic,5.425
2019,Venezuela,4.707
2019,Haiti,3.597
2015,Taiwan,6.298
2015,Japan,5.987
2015,South Korea,5.984
2015,Hong Kong,5.474
2015,China,5.14
2015,Mongolia,4.874
2016,Taiwan,6.379
2016,Japan,5.921
2016,South Korea,5.835
2016,Hong Kong,5.458
2016,China,5.245
2016,Mongolia,4.907
2017,Japan,5.92
2017,South Korea,5.838
2017,China,5.273
2017,Mongolia,4.955
2018,Taiwan,6.441
2018,Japan,5.915
2018,South Korea,5.875
2018,Hong Kong,5.43
2018,China,5.246
2018,Mongolia,5.125
2019,Taiwan,6.446
2019,South Korea,5.895
2019,Japan,5.886
2019,Hong Kong,5.43
2019,Mongolia,5.285
2019,China,5.191
2015,Czech Republic,6.505
2015,Uzbekistan,6.003
2015,Slovakia,5.995
2015,Moldova,5.889
2015,Kazakhstan,5.855
2015,Slovenia,5.848
2015,Lithuania,5.833
2015,Belarus,5.813
2015,Poland,5.791
2015,Croatia,5.759
2015,Russia,5.716
2015,Kosovo,5.589
2015,Turkmenistan,5.548
2015,Estonia,5.429
2015,Kyrgyzstan,5.286
2015,Azerbaijan,5.212
2015,Montenegro,5.192
2015,Romania,5.124
2015,Serbia,5.123
2015,Latvia,5.098
2015,Macedonia,5.007
2015,Albania,4.959
2015,Bosnia and Herzegovina,4.949
2015,Hungary,4.8
2015,Tajikistan,4.786
2015,Ukraine,4.681
2015,Armenia,4.35
2015,Georgia,4.297
2015,Bulgaria,4.218
2016,Czech Republic,6.596
2016,Slovakia,6.078
2016,Uzbekistan,5.987
2016,Kazakhstan,5.919
2016,Moldova,5.897
2016,Russia,5.856
2016,Poland,5.835
2016,Lithuania,5.813
2016,Belarus,5.802
2016,Slovenia,5.768
2016,Turkmenistan,5.658
2016,Latvia,5.56
2016,Romania,5.528
2016,Estonia,5.517
2016,Croatia,5.488
2016,Kosovo,5.401
2016,Azerbaijan,5.291
2016,Kyrgyzstan,5.185
2016,Serbia,5.177
2016,Bosnia and Herzegovina,5.163
2016,Montenegro,5.161
2016,Hungary,5.145
2016,Macedonia,5.121
2016,Tajikistan,4.996
2016,Albania,4.655
2016,Armenia,4.36
2016,Ukraine,4.324
2016,Georgia,4.252
2016,Bulgaria,4.217
2017,Czech Republic,6.609
2017,Slovakia,6.098
2017,Poland,5.973
2017,Uzbekistan,5.971
2017,Russia,5.963
2017,Lithuania,5.902
2017,Latvia,5.85
2017,Moldova,5.838
2017,Romania,5.825
2017,Turkmenistan,5.822
2017,Kazakhstan,5.819
2017,Slovenia,5.758
2017,Estonia,5.611
2017,Belarus,5.569
2017,Serbia,5.395
2017,Hungary,5.324
2017,Croatia,5.293
2017,Kosovo,5.279
2017,Montenegro,5.237
2017,Azerbaijan,5.234
2017,Bosnia and Herzegovina,5.182
2017,Macedonia,5.175
2017,Tajikistan,5.041
2017,Kyrgyzstan,5.004
2017,Bulgaria,4.714
2017,Albania,4.644
2017,Armenia,4.376
2017,Georgia,4.286
2017,Ukraine,4.096
2018,Czech Republic,6.711
2018,Slovakia,6.173
2018,Poland,6.123
2018,Uzbekistan,6.096
2018,Lithuania,5.952
2018,Slovenia,5.948
2018,Romania,5.945
2018,Latvia,5.933
2018,Russia,5.81
2018,Kazakhstan,5.79
2018,Estonia,5.739
2018,Kosovo,5.662
2018,Moldova,5.64
2018,Turkmenistan,5.636
2018,Hungary,5.62
2018,Belarus,5.483
2018,Serbia,5.398
2018,Tajikistan,5.358
2018,Montenegro,5.347
2018,Croatia,5.321
2018,Azerbaijan,5.201
2018,Macedonia,5.185
2018,Kyrgyzstan,5.131
2018,Bosnia and Herzegovina,5.129
2018,Bulgaria,4.933
2018,Albania,4.586
2018,Georgia,4.34
2018,Armenia,4.321
2018,Ukraine,4.103
2019,Czech Republic,6.852
2019,Slovakia,6.198
2019,Poland,6.182
2019,Uzbekistan,6.174
2019,Lithuania,6.149
2019,Slovenia,6.118
2019,Kosovo,6.1
2019,Romania,6.07
2019,Latvia,5.94
2019,Estonia,5.893
2019,Kazakhstan,5.809
2019,Hungary,5.758
2019,Russia,5.648
2019,Serbia,5.603
2019,Moldova,5.529
2019,Montenegro,5.523
2019,Tajikistan,5.467
2019,Croatia,5.432
2019,Bosnia and Herzegovina,5.386
2019,Belarus,5.323
2019,Kyrgyzstan,5.261
2019,Turkmenistan,5.247
2019,Azerbaijan,5.208
2019,Bulgaria,5.011
2019,Albania,4.719
2019,Armenia,4.559
2019,Georgia,4.519
2019,Ukraine,4.332
2016,Belize,5.956
2017,Belize,5.956
2018,Belize,5.956
2015,New Zealand,7.286
2015,Australia,7.284
2016,New Zealand,7.334
2016,Australia,7.313
2017,New Zealand,7.314
2017,Australia,7.284
2018,New Zealand,7.324
2018,Australia,7.272
2019,New Zealand,7.307
2019,Australia,7.228
2019,Gambia,4.516
2017,"Hong Kong S.A.R., China",5.472
2019,Ireland,7.021
2016,Namibia,4.574
2017,Namibia,4.574
2018,Namibia,4.441
2019,Namibia,4.639
2019,North Macedonia,5.274
2018,Northern Cyprus,5.835
2019,Northern Cyprus,5.718
2016,Puerto Rico,7.039
2016,Somalia,5.44
2017,Somalia,5.151
2018,Somalia,4.982
2019,Somalia,4.668
2016,South Sudan,3.832
2017,South Sudan,3.591
2018,South Sudan,3.254
2019,South Sudan,2.853
2019,Swaziland,4.212
2017,Taiwan Province of China,6.422
