Year,Country,Generosity
2018,Albania,0.149
2018,Georgia,0.038
2018,Armenia,0.077
2018,Ukraine,0.187
2019,Czech Republic,0.046
2019,Slovakia,0.121
2019,Poland,0.117
2019,Uzbekistan,0.322
2019,Lithuania,0.043
2019,Slovenia,0.144
2019,Kosovo,0.262
2019,Romania,0.083
2019,Latvia,0.075
2019,Estonia,0.103
2019,Kazakhstan,0.146
2019,Hungary,0.081
2019,Russia,0.082
2019,Serbia,0.137
2019,Moldova,0.181
2019,Montenegro,0.142
2019,Tajikistan,0.23
2019,Croatia,0.119
2019,Bosnia and Herzegovina,0.263
2019,Belarus,0.094
2019,Kyrgyzstan,0.3
2019,Turkmenistan,0.244
2019,Azerbaijan,0.035
2019,Bulgaria,0.081
2019,Albania,0.178
2019,Armenia,0.095
2019,Georgia,0.043
2019,Ukraine,0.187
2016,Belize,0.237
2017,Belize,0.24
2018,Belize,0.183
2015,New Zealand,0.475
2015,Australia,0.436
2016,New Zealand,0.494
2016,Australia,0.474
2017,New Zealand,0.5
2017,Australia,0.478
2018,New Zealand,0.365
2018,Australia,0.361
2019,New Zealand,0.33
2019,Australia,0.332
2019,Gambia,0.269
2017,"Hong Kong S.A.R., China",0.374
2019,Ireland,0.298
2016,Namibia,0.078
2017,Namibia,0.077
2018,Namibia,0.051
2019,Namibia,0.07
2019,North Macedonia,0.185
2018,Northern Cyprus,0.179
2019,Northern Cyprus,0.191
2016,Puerto Rico,0.222
2016,Somalia,0.272
2017,Somalia,0.292
2018,Somalia,0.238
2019,Somalia,0.243
2016,South Sudan,0.259
2017,South Sudan,0.286
2018,South Sudan,0.224
2019,South Sudan,0.202
2019,Swaziland,0.074
2017,Taiwan Province of China,0.258
